agriprod,Unit,Country,Year,Value,Description
Dairy,T,LT,2021,3253,Raw milk
Dairy,T,LU,2012,,Raw milk
Dairy,T,LU,2013,,Raw milk
Dairy,T,LU,2014,,Raw milk
Dairy,T,LU,2015,,Raw milk
Dairy,T,LU,2016,1178,Raw milk
Dairy,T,LU,2017,1281,Raw milk
Dairy,T,LU,2018,1455,Raw milk
Dairy,T,LU,2019,1640,Raw milk
Dairy,T,LU,2020,1859,Raw milk
Dairy,T,LU,2021,1809,Raw milk
Dairy,T,LV,2012,0,Raw milk
Dairy,T,LV,2015,0,Raw milk
Dairy,T,LV,2016,0,Raw milk
Dairy,T,LV,2017,0,Raw milk
Dairy,T,LV,2018,0,Raw milk
Dairy,T,LV,2019,601,Raw milk
Dairy,T,LV,2020,44,Raw milk
Dairy,T,ME,2021,0,Raw milk
Dairy,T,MK,2013,0,Raw milk
Dairy,T,MK,2014,36,Raw milk
Dairy,T,MK,2015,0,Raw milk
Dairy,T,MK,2017,0,Raw milk
Dairy,T,MK,2018,0,Raw milk
Dairy,T,MK,2019,0,Raw milk
Dairy,T,MK,2020,0,Raw milk
Dairy,T,MT,2012,0,Raw milk
Dairy,T,MT,2013,0,Raw milk
Dairy,T,MT,2014,0,Raw milk
Dairy,T,MT,2015,0,Raw milk
Dairy,T,MT,2016,0,Raw milk
Dairy,T,MT,2017,0,Raw milk
Dairy,T,MT,2018,0,Raw milk
Dairy,T,MT,2019,0,Raw milk
Dairy,T,MT,2020,0,Raw milk
Dairy,T,MT,2021,0,Raw milk
Dairy,T,NL,2015,60052,Raw milk
Dairy,T,NL,2016,93323,Raw milk
Dairy,T,NL,2017,109177,Raw milk
Dairy,T,NL,2018,117732,Raw milk
Dairy,T,NL,2019,121385,Raw milk
Dairy,T,NL,2020,138605,Raw milk
Dairy,T,NL,2021,96540,Raw milk
Dairy,T,NO,2014,11926,Raw milk
Dairy,T,NO,2015,13720,Raw milk
Dairy,T,NO,2016,14203,Raw milk
Dairy,T,NO,2017,14308,Raw milk
Dairy,T,NO,2018,15785,Raw milk
Dairy,T,NO,2019,16660,Raw milk
Dairy,T,NO,2020,16983,Raw milk
Dairy,T,PL,2013,0,Raw milk
Dairy,T,PL,2014,0,Raw milk
Dairy,T,PL,2015,0,Raw milk
Dairy,T,PL,2016,0,Raw milk
Dairy,T,PL,2017,0,Raw milk
Dairy,T,PL,2018,0,Raw milk
Dairy,T,PL,2019,0,Raw milk
Dairy,T,PL,2020,0,Raw milk
Dairy,T,RO,2012,1947,Raw milk
Dairy,T,RO,2013,560,Raw milk
Dairy,T,RO,2014,1000,Raw milk
Dairy,T,RO,2015,1000,Raw milk
Dairy,T,RO,2016,1000,Raw milk
Dairy,T,RO,2017,1000,Raw milk
Dairy,T,RO,2018,21918,Raw milk
Dairy,T,RO,2019,21848,Raw milk
Dairy,T,RO,2020,25242,Raw milk
Dairy,T,RO,2021,989,Raw milk
Dairy,T,RS,2013,0,Raw milk
Dairy,T,RS,2015,6941,Raw milk
Dairy,T,RS,2016,7154,Raw milk
Dairy,T,RS,2017,1217,Raw milk
Dairy,T,RS,2018,3782,Raw milk
Dairy,T,RS,2019,2351,Raw milk
Dairy,T,RS,2020,4298,Raw milk
Dairy,T,SE,2013,98729,Raw milk
Dairy,T,SE,2014,116710,Raw milk
Dairy,T,SE,2015,139234,Raw milk
Dairy,T,SE,2016,144743,Raw milk
Dairy,T,SE,2017,140026,Raw milk
Dairy,T,SE,2018,146210,Raw milk
Dairy,T,SE,2019,136410,Raw milk
Dairy,T,SE,2020,127860,Raw milk
Dairy,T,SE,2021,123440,Raw milk
Dairy,T,SK,2012,6381,Raw milk
Dairy,T,SK,2013,5736,Raw milk
Dairy,T,SK,2014,5447,Raw milk
Dairy,T,SK,2015,401,Raw milk
Dairy,T,SK,2016,2111,Raw milk
Dairy,T,SK,2017,2154,Raw milk
Dairy,T,SK,2018,2671,Raw milk
Dairy,T,SK,2019,3142,Raw milk
Dairy,T,SK,2020,1806,Raw milk
Dairy,T,TR,2014,0,Raw milk
Dairy,T,TR,2016,17541,Raw milk
Dairy,T,TR,2017,15091,Raw milk
Dairy,T,UK,2012,210400,Raw milk
Dairy,T,UK,2013,232600,Raw milk
Dairy,T,UK,2014,231000,Raw milk
Dairy,T,UK,2015,222200,Raw milk
Dairy,T,UK,2016,237300,Raw milk
Dairy,T,UK,2017,236400,Raw milk
Dairy,T,UK,2018,267000,Raw milk
Dairy,T,UK,2019,253700,Raw milk
